P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std,F1_model_micro_mult_lab,F1_model_micro_mult_lab_std,F1_model_micro_mult_boost,F1_model_micro_mult_boost_std,F1_model_micro_mult_transfer_boost,F1_model_micro_mult_transfer_boost_std,F1_model_macro_mult_lab,F1_model_macro_mult_lab_std,F1_model_macro_mult_boost,F1_model_macro_mult_boost_std,F1_model_macro_mult_transfer_boost,F1_model_macro_mult_transfer_boost_std
0.939,0.0,0.897,0.0,0.918,0.0,0.942,0.0,0.9221999999999999,0.0,0.9449,0.0,0.43705535092587916,0.0,0.9464322647362978,0.0,,,0.7937000000000001,0.0,0.9498999999999999,0.0,,
0.945,0.0,0.909,0.0,0.927,0.0,0.934,0.0,0.9303000000000001,0.0,0.9371,0.0,0.4358819381484839,0.0,0.9379662749105774,0.0,,,0.7914000000000001,0.0,0.9411000000000002,0.0,,
0.956,0.0,0.911,0.0,0.933,0.0,0.936,0.0,0.9360000000000002,0.0,0.9386999999999999,0.0,0.4221544715447154,0.0,0.9379338505512453,0.0,,,0.772,0.0,0.9396999999999999,0.0,,
0.965,0.0,0.898,0.0,0.93,0.0,0.942,0.0,0.9328,0.0,0.9454,0.0,0.4109616145627226,0.0,0.9449531844840005,0.0,,,0.7715000000000001,0.0,0.9484,0.0,,
0.963,0.0,0.898,0.0,0.929,0.0,0.942,0.0,0.9324,0.0,0.9449000000000002,0.0,0.4082866630321653,0.0,0.9457974919680797,0.0,,,0.7663,0.0,0.9488,0.0,,
0.962,0.0,0.899,0.0,0.93,0.0,0.945,0.0,0.9326000000000001,0.0,0.9474,0.0,0.410137108350245,0.0,0.9451870272510621,0.0,,,0.7684,0.0,0.9480999999999999,0.0,,
0.956,0.0,0.894,0.0,0.924,0.0,0.942,0.0,0.9273,0.0,0.945,0.0,0.40943871254381203,0.0,0.9439039536327883,0.0,,,0.7653000000000001,0.0,0.9470000000000001,0.0,,
0.957,0.0,0.901,0.0,0.928,0.0,0.939,0.0,0.9322000000000001,0.0,0.9414999999999999,0.0,0.40503980075206336,0.0,0.9435558765865236,0.0,,,0.7651,0.0,0.9463000000000001,0.0,,
0.959,0.0,0.896,0.0,0.926,0.0,0.94,0.0,0.9294,0.0,0.9437,0.0,0.403480471232341,0.0,0.9447371139345109,0.0,,,0.7623,0.0,0.9480999999999999,0.0,,
0.96,0.0,0.895,0.0,0.926,0.0,0.941,0.0,0.93,0.0,0.9437,0.0,0.43562265744602235,0.0,0.9451232139159247,0.0,,,0.7638,0.0,0.9480999999999999,0.0,,
0.962,0.0,0.895,0.0,0.927,0.0,0.941,0.0,0.9301,0.0,0.9433,0.0,0.4300699300699301,0.0,0.9419915210422913,0.0,,,0.7537,0.0,0.9442999999999999,0.0,,
0.962,0.0,0.89,0.0,0.925,0.0,0.945,0.0,0.9273000000000001,0.0,0.9479000000000001,0.0,0.4300106044538707,0.0,0.9459571814591561,0.0,,,0.754,0.0,0.9494,0.0,,
0.969,0.0,0.895,0.0,0.931,0.0,0.939,0.0,0.9338,0.0,0.9402000000000001,0.0,0.6683164233275591,0.0,0.9405081594711836,0.0,,,0.7754000000000001,0.0,0.9425999999999999,0.0,,
0.961,0.0,0.902,0.0,0.931,0.0,0.943,0.0,0.9329000000000001,0.0,0.9457000000000001,0.0,0.6658401520786841,0.0,0.9437805258235478,0.0,,,0.7715000000000001,0.0,0.9467000000000001,0.0,,
0.972,0.0,0.898,0.0,0.933,0.0,0.936,0.0,0.9362,0.0,0.938,0.0,0.6773324351633546,0.0,0.93790546802595,0.0,,,0.7904,0.0,0.9401999999999999,0.0,,
0.967,0.0,0.899,0.0,0.932,0.0,0.944,0.0,0.9353,0.0,0.9471999999999999,0.0,0.6781202627589691,0.0,0.9456555752581621,0.0,,,0.7917000000000001,0.0,0.9490000000000001,0.0,,
0.958,0.0,0.9,0.0,0.928,0.0,0.942,0.0,0.9314,0.0,0.9451999999999998,0.0,0.7083607636603029,0.0,0.9441508651953165,0.0,,,0.8258000000000001,0.0,0.9469,0.0,,
0.969,0.0,0.891,0.0,0.928,0.0,0.935,0.0,0.9309,0.0,0.9369,0.0,0.7130192086685272,0.0,0.9379168804515136,0.0,,,0.8304,0.0,0.9407,0.0,,
0.97,0.0,0.898,0.0,0.933,0.0,0.942,0.0,0.9362,0.0,0.9450000000000001,0.0,0.7138657520823125,0.0,0.9437148217636023,0.0,,,0.8300000000000001,0.0,0.9466000000000001,0.0,,
0.974,0.0,0.899,0.0,0.935,0.0,0.943,0.0,0.9374,0.0,0.9455,0.0,0.7112412558971856,0.0,0.9439184268026221,0.0,,,0.8297000000000001,0.0,0.9471999999999999,0.0,,
0.963,0.0,0.905,0.0,0.933,0.0,0.941,0.0,0.9362,0.0,0.9430999999999999,0.0,0.7116674848633612,0.0,0.9433687278784092,0.0,,,0.8324,0.0,0.9455,0.0,,
0.968,0.0,0.907,0.0,0.936,0.0,0.938,0.0,0.9386000000000001,0.0,0.9408999999999998,0.0,0.7149269566636742,0.0,0.9382589010084379,0.0,,,0.8352,0.0,0.9408,0.0,,
0.965,0.0,0.905,0.0,0.934,0.0,0.946,0.0,0.9374999999999998,0.0,0.9488,0.0,0.7137024334476565,0.0,0.9476852812954121,0.0,,,0.8333999999999999,0.0,0.9504999999999999,0.0,,
0.966,0.0,0.907,0.0,0.936,0.0,0.946,0.0,0.9388,0.0,0.9486000000000001,0.0,0.7168294083859852,0.0,0.9451642997823158,0.0,,,0.8361000000000001,0.0,0.9479999999999998,0.0,,
0.965,0.0,0.912,0.0,0.938,0.0,0.944,0.0,0.9404,0.0,0.9463999999999999,0.0,0.7184180421637522,0.0,0.9451642997823158,0.0,,,0.8368,0.0,0.9479,0.0,,
0.968,0.0,0.908,0.0,0.937,0.0,0.943,0.0,0.9400000000000001,0.0,0.9458,0.0,0.7201440615535728,0.0,0.945669046879851,0.0,,,0.8403,0.0,0.9478,0.0,,
0.959,0.0,0.911,0.0,0.934,0.0,0.946,0.0,0.9369,0.0,0.9489999999999998,0.0,0.7166924391633435,0.0,0.9481542928245541,0.0,,,0.8333999999999999,0.0,0.9512,0.0,,
0.967,0.0,0.908,0.0,0.936,0.0,0.939,0.0,0.9388,0.0,0.9412999999999998,0.0,0.7173222575128267,0.0,0.9416005767844269,0.0,,,0.834,0.0,0.9437999999999999,0.0,,
0.972,0.0,0.911,0.0,0.941,0.0,0.944,0.0,0.9438000000000001,0.0,0.9477,0.0,0.714994711577577,0.0,0.9478152826672189,0.0,,,0.8311999999999999,0.0,0.9509000000000001,0.0,,
0.967,0.0,0.899,0.0,0.932,0.0,0.947,0.0,0.9361,0.0,0.9498999999999999,0.0,0.7080939090461336,0.0,0.9487418452935694,0.0,,,0.8256,0.0,0.9518999999999999,0.0,,
0.97,0.0,0.892,0.0,0.929,0.0,0.943,0.0,0.933,0.0,0.9468,0.0,0.7003663003663004,0.0,0.945657799399648,0.0,,,0.8160000000000001,0.0,0.9494,0.0,,
0.964,0.0,0.909,0.0,0.936,0.0,0.941,0.0,0.9396000000000001,0.0,0.9441,0.0,0.6919005613472334,0.0,0.944530844997408,0.0,,,0.8085999999999999,0.0,0.9471999999999999,0.0,,
0.969,0.0,0.895,0.0,0.931,0.0,0.946,0.0,0.9346,0.0,0.9489000000000001,0.0,0.6920115495668914,0.0,0.9463676759326237,0.0,,,0.8088999999999998,0.0,0.95,0.0,,
0.961,0.0,0.916,0.0,0.938,0.0,0.945,0.0,0.9412,0.0,0.9485999999999999,0.0,0.6986955138402798,0.0,0.9474012474012474,0.0,,,0.8144,0.0,0.951,0.0,,
0.966,0.0,0.921,0.0,0.943,0.0,0.944,0.0,0.9459,0.0,0.9466999999999999,0.0,0.7009345794392523,0.0,0.9457013574660634,0.0,,,0.8163,0.0,0.9482999999999999,0.0,,
0.96,0.0,0.918,0.0,0.938,0.0,0.951,0.0,0.942,0.0,0.9548,0.0,0.7051958433253397,0.0,0.9527445315724308,0.0,,,0.8263,0.0,0.9562999999999999,0.0,,
0.966,0.0,0.918,0.0,0.942,0.0,0.946,0.0,0.9449,0.0,0.9486000000000001,0.0,0.7054028132992327,0.0,0.9482989001952924,0.0,,,0.8267,0.0,0.9514999999999999,0.0,,
0.968,0.0,0.91,0.0,0.938,0.0,0.95,0.0,0.9419000000000001,0.0,0.9528000000000001,0.0,0.7053928628580572,0.0,0.9535917312661498,0.0,,,0.8271,0.0,0.9571,0.0,,
0.969,0.0,0.911,0.0,0.939,0.0,0.949,0.0,0.942,0.0,0.9515999999999998,0.0,0.7051189617880318,0.0,0.9503047835520199,0.0,,,0.827,0.0,0.9531000000000001,0.0,,
0.97,0.0,0.908,0.0,0.938,0.0,0.949,0.0,0.9408,0.0,0.9527999999999999,0.0,0.709404438767364,0.0,0.9524400330851944,0.0,,,0.834,0.0,0.9559000000000001,0.0,,
0.968,0.0,0.914,0.0,0.94,0.0,0.947,0.0,0.9440999999999999,0.0,0.9509000000000001,0.0,0.710114869176771,0.0,0.9508604602944226,0.0,,,0.835,0.0,0.9542000000000002,0.0,,
0.962,0.0,0.912,0.0,0.936,0.0,0.949,0.0,0.9399999999999998,0.0,0.9527999999999999,0.0,0.6425012636291428,0.0,0.9513457556935817,0.0,,,0.8263,0.0,0.9547999999999999,0.0,,
0.965,0.0,0.922,0.0,0.943,0.0,0.946,0.0,0.9460999999999998,0.0,0.9484,0.0,0.6426872341959201,0.0,0.946515733721051,0.0,,,0.8259000000000001,0.0,0.9495999999999999,0.0,,
0.966,0.0,0.912,0.0,0.938,0.0,0.948,0.0,0.9412,0.0,0.9518000000000001,0.0,0.6476385137601285,0.0,0.9516261836146561,0.0,,,0.8313,0.0,0.9548,0.0,,
0.966,0.0,0.912,0.0,0.938,0.0,0.948,0.0,0.9413,0.0,0.951,0.0,0.6482305727836557,0.0,0.9484044757563199,0.0,,,0.8322,0.0,0.9515,0.0,,
0.962,0.0,0.914,0.0,0.938,0.0,0.947,0.0,0.9404,0.0,0.9505999999999999,0.0,0.6467930029154518,0.0,0.9474227869021795,0.0,,,0.8293000000000001,0.0,0.9507999999999999,0.0,,
0.955,0.0,0.92,0.0,0.937,0.0,0.943,0.0,0.9413,0.0,0.9460999999999998,0.0,0.6474232815802902,0.0,0.9466074563668284,0.0,,,0.8299000000000001,0.0,0.9498,0.0,,
0.958,0.0,0.925,0.0,0.941,0.0,0.946,0.0,0.9442,0.0,0.9497,0.0,0.6467379445777874,0.0,0.9490406436971324,0.0,,,0.8278000000000001,0.0,0.9527999999999999,0.0,,
0.957,0.0,0.924,0.0,0.941,0.0,0.946,0.0,0.9442999999999998,0.0,0.9492,0.0,0.6471272727272727,0.0,0.9486627728250846,0.0,,,0.8284,0.0,0.9513999999999999,0.0,,
0.949,0.0,0.933,0.0,0.941,0.0,0.947,0.0,0.9467000000000001,0.0,0.9512,0.0,0.6465860545941641,0.0,0.9509612419039786,0.0,,,0.8275,0.0,0.9544999999999998,0.0,,
0.956,0.0,0.931,0.0,0.943,0.0,0.944,0.0,0.9476000000000001,0.0,0.9490999999999999,0.0,0.6476657767515693,0.0,0.9494266994266995,0.0,,,0.8279,0.0,0.9536,0.0,,
0.949,0.0,0.927,0.0,0.938,0.0,0.949,0.0,0.9433,0.0,0.9528000000000001,0.0,0.6505849015476277,0.0,0.9501129131595155,0.0,,,0.8314999999999999,0.0,0.9541000000000001,0.0,,
0.941,0.0,0.931,0.0,0.936,0.0,0.945,0.0,0.9420999999999999,0.0,0.9493,0.0,0.6507281025863942,0.0,0.9459127228027043,0.0,,,0.8308,0.0,0.95,0.0,,
0.955,0.0,0.931,0.0,0.943,0.0,0.947,0.0,0.9466000000000001,0.0,0.9516,0.0,0.6503911909591423,0.0,0.950353157948613,0.0,,,0.8301999999999999,0.0,0.9542999999999999,0.0,,
0.959,0.0,0.93,0.0,0.944,0.0,0.948,0.0,0.9472000000000002,0.0,0.9520000000000002,0.0,0.6492921960072595,0.0,0.9524103196628635,0.0,,,0.8292999999999999,0.0,0.9558,0.0,,
0.952,0.0,0.932,0.0,0.942,0.0,0.949,0.0,0.9459,0.0,0.9526999999999999,0.0,0.6485743233463598,0.0,0.9514523247459714,0.0,,,0.828,0.0,0.9551000000000001,0.0,,
0.957,0.0,0.932,0.0,0.944,0.0,0.946,0.0,0.9479,0.0,0.9489999999999998,0.0,0.6478386167146974,0.0,0.9474331386412542,0.0,,,0.8268000000000001,0.0,0.9510000000000002,0.0,,
0.955,0.0,0.932,0.0,0.943,0.0,0.947,0.0,0.9477999999999998,0.0,0.9513999999999999,0.0,0.647936027663713,0.0,0.9493541111338938,0.0,,,0.8269,0.0,0.9524000000000001,0.0,,
0.955,0.0,0.931,0.0,0.942,0.0,0.948,0.0,0.9460999999999998,0.0,0.9513,0.0,0.6472622478386166,0.0,0.9507525340432066,0.0,,,0.8254999999999999,0.0,0.9542999999999999,0.0,,
0.955,0.0,0.932,0.0,0.944,0.0,0.947,0.0,0.9473999999999998,0.0,0.9508999999999999,0.0,0.6458931648477886,0.0,0.9501026694045174,0.0,,,0.821,0.0,0.9533000000000001,0.0,,
0.944,0.0,0.933,0.0,0.938,0.0,0.948,0.0,0.9431,0.0,0.952,0.0,0.6462775504343455,0.0,0.9508599508599509,0.0,,,0.8216999999999999,0.0,0.9544,0.0,,
0.954,0.0,0.928,0.0,0.941,0.0,0.945,0.0,0.9453999999999999,0.0,0.9490999999999999,0.0,0.6483912855287838,0.0,0.9491836734693878,0.0,,,0.825,0.0,0.9526000000000001,0.0,,
0.962,0.0,0.927,0.0,0.944,0.0,0.949,0.0,0.9475999999999999,0.0,0.9530999999999998,0.0,0.6501914878242647,0.0,0.9528117610774135,0.0,,,0.8269,0.0,0.9561,0.0,,
0.963,0.0,0.928,0.0,0.945,0.0,0.95,0.0,0.9489000000000001,0.0,0.954,0.0,0.6499203706384827,0.0,0.9525964010282776,0.0,,,0.8269,0.0,0.9562999999999999,0.0,,
0.959,0.0,0.923,0.0,0.941,0.0,0.95,0.0,0.9441,0.0,0.9542000000000002,0.0,0.6491253433569467,0.0,0.9517255546425637,0.0,,,0.8259000000000001,0.0,0.9555999999999999,0.0,,
0.952,0.0,0.925,0.0,0.938,0.0,0.946,0.0,0.9424999999999999,0.0,0.9495999999999999,0.0,0.6533401177582321,0.0,0.9490373725934316,0.0,,,0.8311,0.0,0.9525999999999998,0.0,,
0.964,0.0,0.925,0.0,0.944,0.0,0.946,0.0,0.9469,0.0,0.9506999999999998,0.0,0.7068260459263919,0.0,0.9495115681233932,0.0,,,0.8374,0.0,0.9532,0.0,,
0.96,0.0,0.929,0.0,0.944,0.0,0.949,0.0,0.9479999999999998,0.0,0.9523999999999999,0.0,0.7046380445001568,0.0,0.9513224246166512,0.0,,,0.8333,0.0,0.9545,0.0,,
0.964,0.0,0.927,0.0,0.945,0.0,0.946,0.0,0.9480000000000001,0.0,0.9506,0.0,0.7047589229805885,0.0,0.9502671598849157,0.0,,,0.8332,0.0,0.9541999999999999,0.0,,
0.958,0.0,0.93,0.0,0.944,0.0,0.949,0.0,0.9466999999999999,0.0,0.9531000000000001,0.0,0.7020491481510559,0.0,0.9508432743726862,0.0,,,0.8310000000000001,0.0,0.9543999999999999,0.0,,
0.963,0.0,0.93,0.0,0.946,0.0,0.945,0.0,0.9497,0.0,0.9475,0.0,0.7017020942819043,0.0,0.946970471033003,0.0,,,0.8301000000000001,0.0,0.9494999999999999,0.0,,
0.959,0.0,0.93,0.0,0.944,0.0,0.95,0.0,0.9479000000000001,0.0,0.9539,0.0,0.7010147093526312,0.0,0.9526266900608937,0.0,,,0.8297000000000001,0.0,0.9561,0.0,,
0.96,0.0,0.928,0.0,0.944,0.0,0.947,0.0,0.9465,0.0,0.9509000000000001,0.0,0.7007861635220125,0.0,0.9499076165058509,0.0,,,0.8291999999999999,0.0,0.9533999999999999,0.0,,
0.962,0.0,0.929,0.0,0.946,0.0,0.948,0.0,0.9484,0.0,0.9516,0.0,0.7018150388936907,0.0,0.9508331619008434,0.0,,,0.8301999999999999,0.0,0.954,0.0,,
0.961,0.0,0.926,0.0,0.943,0.0,0.951,0.0,0.9458,0.0,0.9541999999999999,0.0,0.7070994235173339,0.0,0.9515463917525774,0.0,,,0.8366999999999999,0.0,0.9549,0.0,,
0.96,0.0,0.928,0.0,0.944,0.0,0.95,0.0,0.9469,0.0,0.9534,0.0,0.704433111023931,0.0,0.9530960707673317,0.0,,,0.8334999999999999,0.0,0.9563999999999998,0.0,,
0.957,0.0,0.93,0.0,0.943,0.0,0.95,0.0,0.9462999999999999,0.0,0.9532,0.0,0.7059193954659949,0.0,0.9511995078941974,0.0,,,0.8352,0.0,0.9540999999999998,0.0,,
0.964,0.0,0.929,0.0,0.946,0.0,0.947,0.0,0.9500000000000002,0.0,0.9507,0.0,0.7367294872849971,0.0,0.9498924070089149,0.0,,,0.8395999999999999,0.0,0.9530999999999998,0.0,,
0.962,0.0,0.93,0.0,0.946,0.0,0.952,0.0,0.9488999999999999,0.0,0.9550999999999998,0.0,0.7367207444618299,0.0,0.953833470733718,0.0,,,0.8395999999999999,0.0,0.9568,0.0,,
0.96,0.0,0.928,0.0,0.944,0.0,0.951,0.0,0.9464,0.0,0.9540000000000001,0.0,0.7367209340568986,0.0,0.95189038837952,0.0,,,0.8394999999999999,0.0,0.9549,0.0,,
0.965,0.0,0.926,0.0,0.945,0.0,0.95,0.0,0.9476000000000001,0.0,0.9529,0.0,0.7387179275637323,0.0,0.9529290853031861,0.0,,,0.8415999999999999,0.0,0.9559,0.0,,
0.962,0.0,0.932,0.0,0.947,0.0,0.949,0.0,0.9490000000000001,0.0,0.9519,0.0,0.7390658524508994,0.0,0.9505358615004121,0.0,,,0.8421999999999998,0.0,0.9532999999999999,0.0,,
0.958,0.0,0.929,0.0,0.943,0.0,0.949,0.0,0.9467000000000001,0.0,0.9524999999999999,0.0,0.737223273804625,0.0,0.9523515488319441,0.0,,,0.8403,0.0,0.9552999999999999,0.0,,
0.966,0.0,0.93,0.0,0.948,0.0,0.945,0.0,0.9512,0.0,0.9488999999999999,0.0,0.737691421043965,0.0,0.9479519556513706,0.0,,,0.8413,0.0,0.9519,0.0,,
0.96,0.0,0.929,0.0,0.944,0.0,0.951,0.0,0.9475,0.0,0.9548,0.0,0.7376225389241288,0.0,0.9542739443872296,0.0,,,0.8413,0.0,0.9578,0.0,,
0.961,0.0,0.93,0.0,0.945,0.0,0.942,0.0,0.9485000000000001,0.0,0.9452999999999999,0.0,0.7138417403777194,0.0,0.9460674157303371,0.0,,,0.8377000000000001,0.0,0.9488999999999999,0.0,,
0.962,0.0,0.926,0.0,0.944,0.0,0.949,0.0,0.9470000000000001,0.0,0.9534,0.0,0.7134885204081632,0.0,0.9515681233933162,0.0,,,0.8371999999999999,0.0,0.9549999999999998,0.0,,
0.958,0.0,0.931,0.0,0.944,0.0,0.95,0.0,0.9471,0.0,0.9536999999999999,0.0,0.7137617604847712,0.0,0.9522535501131921,0.0,,,0.8375,0.0,0.9559000000000001,0.0,,
0.96,0.0,0.931,0.0,0.945,0.0,0.944,0.0,0.9486999999999999,0.0,0.9465,0.0,0.7088146858680171,0.0,0.9460233081169495,0.0,,,0.8310000000000001,0.0,0.9488,0.0,,
0.955,0.0,0.936,0.0,0.945,0.0,0.949,0.0,0.9499000000000001,0.0,0.9534,0.0,0.7114518296056271,0.0,0.9536246786632391,0.0,,,0.8352,0.0,0.9569000000000001,0.0,,
0.948,0.0,0.937,0.0,0.943,0.0,0.951,0.0,0.9462999999999999,0.0,0.9545999999999999,0.0,0.7106655088023999,0.0,0.9533285465175916,0.0,,,0.8351000000000001,0.0,0.9567,0.0,,
0.956,0.0,0.934,0.0,0.945,0.0,0.946,0.0,0.9480999999999999,0.0,0.9499000000000001,0.0,0.710977633762744,0.0,0.951301684532925,0.0,,,0.8355,0.0,0.9545,0.0,,
0.957,0.0,0.936,0.0,0.946,0.0,0.952,0.0,0.9504000000000001,0.0,0.9550999999999998,0.0,0.7124368686868687,0.0,0.9532902166102043,0.0,,,0.8375,0.0,0.9563999999999998,0.0,,
0.955,0.0,0.934,0.0,0.945,0.0,0.95,0.0,0.9484999999999999,0.0,0.9534,0.0,0.7132138061764474,0.0,0.9529774127310061,0.0,,,0.8391,0.0,0.9559999999999998,0.0,,
0.958,0.0,0.935,0.0,0.946,0.0,0.948,0.0,0.9501000000000002,0.0,0.9519,0.0,0.7154059405940595,0.0,0.9506616063185966,0.0,,,0.8418000000000001,0.0,0.9538,0.0,,
0.959,0.0,0.934,0.0,0.947,0.0,0.951,0.0,0.9498000000000001,0.0,0.9536999999999999,0.0,0.7153273101917894,0.0,0.9532211735740664,0.0,,,0.8419000000000001,0.0,0.9560999999999998,0.0,,
0.958,0.0,0.936,0.0,0.947,0.0,0.945,0.0,0.9511,0.0,0.9475999999999999,0.0,0.712850929221036,0.0,0.9488096454480434,0.0,,,0.8393,0.0,0.9512,0.0,,
